Party,Title,Topic,Stance,Content
ΜέΡΑ25,Νέο Φορολογικό Νομοσχέδιο (Τεκμαρτό Ελ. Επαγγελματιών) (2023),Οικονομία,ΚΑΤΑ,Το κόμμα ΜέΡΑ25 ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Νέο Φορολογικό Νομοσχέδιο (Τεκμαρτό Ελ. Επαγγελματιών) (2023)' που αφορά την κατηγορία: Οικονομία.
Φωνή_Λογικής,Νέο Φορολογικό Νομοσχέδιο (Τεκμαρτό Ελ. Επαγγελματιών) (2023),Οικονομία,ΚΑΤΑ,Το κόμμα Φωνή_Λογικής ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Νέο Φορολογικό Νομοσχέδιο (Τεκμαρτό Ελ. Επαγγελματιών) (2023)' που αφορά την κατηγορία: Οικονομία.
Εθνικό_Κόμμα_Έλληνες,Νέο Φορολογικό Νομοσχέδιο (Τεκμαρτό Ελ. Επαγγελματιών) (2023),Οικονομία,ΚΑΤΑ,Το κόμμα Εθνικό_Κόμμα_Έλληνες ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Νέο Φορολογικό Νομοσχέδιο (Τεκμαρτό Ελ. Επαγγελματιών) (2023)' που αφορά την κατηγορία: Οικονομία.
ΝΔ,Νομοσχέδιο για την ΕΥΔΑΠ/ΕΥΑΘ - Διαχείριση Υδάτων (2023),Περιβάλλον,ΥΠΕΡ,Το κόμμα ΝΔ ψήφισε 'ΥΠΕΡ' στο νομοσχέδιο 'Νομοσχέδιο για την ΕΥΔΑΠ/ΕΥΑΘ - Διαχείριση Υδάτων (2023)' που αφορά την κατηγορία: Περιβάλλον.
ΕΛΑΣ,Νομοσχέδιο για την ΕΥΔΑΠ/ΕΥΑΘ - Διαχείριση Υδάτων (2023),Περιβάλλον,ΚΑΤΑ,Το κόμμα ΕΛΑΣ ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Νομοσχέδιο για την ΕΥΔΑΠ/ΕΥΑΘ - Διαχείριση Υδάτων (2023)' που αφορά την κατηγορία: Περιβάλλον.
ΠΑΣΟΚ,Νομοσχέδιο για την ΕΥΔΑΠ/ΕΥΑΘ - Διαχείριση Υδάτων (2023),Περιβάλλον,ΚΑΤΑ,Το κόμμα ΠΑΣΟΚ ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Νομοσχέδιο για την ΕΥΔΑΠ/ΕΥΑΘ - Διαχείριση Υδάτων (2023)' που αφορά την κατηγορία: Περιβάλλον.
ΚΚΕ,Νομοσχέδιο για την ΕΥΔΑΠ/ΕΥΑΘ - Διαχείριση Υδάτων (2023),Περιβάλλον,ΚΑΤΑ,Το κόμμα ΚΚΕ ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Νομοσχέδιο για την ΕΥΔΑΠ/ΕΥΑΘ - Διαχείριση Υδάτων (2023)' που αφορά την κατηγορία: Περιβάλλον.
Ελληνική_Λύση,Νομοσχέδιο για την ΕΥΔΑΠ/ΕΥΑΘ - Διαχείριση Υδάτων (2023),Περιβάλλον,ΚΑΤΑ,Το κόμμα Ελληνική_Λύση ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Νομοσχέδιο για την ΕΥΔΑΠ/ΕΥΑΘ - Διαχείριση Υδάτων (2023)' που αφορά την κατηγορία: Περιβάλλον.
Πλεύση_Ελευθερίας,Νομοσχέδιο για την ΕΥΔΑΠ/ΕΥΑΘ - Διαχείριση Υδάτων (2023),Περιβάλλον,ΚΑΤΑ,Το κόμμα Πλεύση_Ελευθερίας ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Νομοσχέδιο για την ΕΥΔΑΠ/ΕΥΑΘ - Διαχείριση Υδάτων (2023)' που αφορά την κατηγορία: Περιβάλλον.
ΜέΡΑ25,Νομοσχέδιο για την ΕΥΔΑΠ/ΕΥΑΘ - Διαχείριση Υδάτων (2023),Περιβάλλον,ΚΑΤΑ,Το κόμμα ΜέΡΑ25 ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Νομοσχέδιο για την ΕΥΔΑΠ/ΕΥΑΘ - Διαχείριση Υδάτων (2023)' που αφορά την κατηγορία: Περιβάλλον.
Φωνή_Λογικής,Νομοσχέδιο για την ΕΥΔΑΠ/ΕΥΑΘ - Διαχείριση Υδάτων (2023),Περιβάλλον,ΥΠΕΡ,Το κόμμα Φωνή_Λογικής ψήφισε 'ΥΠΕΡ' στο νομοσχέδιο 'Νομοσχέδιο για την ΕΥΔΑΠ/ΕΥΑΘ - Διαχείριση Υδάτων (2023)' που αφορά την κατηγορία: Περιβάλλον.
Εθνικό_Κόμμα_Έλληνες,Νομοσχέδιο για την ΕΥΔΑΠ/ΕΥΑΘ - Διαχείριση Υδάτων (2023),Περιβάλλον,ΚΑΤΑ,Το κόμμα Εθνικό_Κόμμα_Έλληνες ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Νομοσχέδιο για την ΕΥΔΑΠ/ΕΥΑΘ - Διαχείριση Υδάτων (2023)' που αφορά την κατηγορία: Περιβάλλον.
ΝΔ,Ιδιωτικοποίηση ΔΕΗ (Πώληση 49% ΔΕΔΔΗΕ) (2021),Οικονομία / Ενέργεια,ΥΠΕΡ,Το κόμμα ΝΔ ψήφισε 'ΥΠΕΡ' στο νομοσχέδιο 'Ιδιωτικοποίηση ΔΕΗ (Πώληση 49% ΔΕΔΔΗΕ) (2021)' που αφορά την κατηγορία: Οικονομία / Ενέργεια.
ΕΛΑΣ,Ιδιωτικοποίηση ΔΕΗ (Πώληση 49% ΔΕΔΔΗΕ) (2021),Οικονομία / Ενέργεια,ΚΑΤΑ,Το κόμμα ΕΛΑΣ ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Ιδιωτικοποίηση ΔΕΗ (Πώληση 49% ΔΕΔΔΗΕ) (2021)' που αφορά την κατηγορία: Οικονομία / Ενέργεια.
ΠΑΣΟΚ,Ιδιωτικοποίηση ΔΕΗ (Πώληση 49% ΔΕΔΔΗΕ) (2021),Οικονομία / Ενέργεια,ΚΑΤΑ,Το κόμμα ΠΑΣΟΚ ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Ιδιωτικοποίηση ΔΕΗ (Πώληση 49% ΔΕΔΔΗΕ) (2021)' που αφορά την κατηγορία: Οικονομία / Ενέργεια.
ΚΚΕ,Ιδιωτικοποίηση ΔΕΗ (Πώληση 49% ΔΕΔΔΗΕ) (2021),Οικονομία / Ενέργεια,ΚΑΤΑ,Το κόμμα ΚΚΕ ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Ιδιωτικοποίηση ΔΕΗ (Πώληση 49% ΔΕΔΔΗΕ) (2021)' που αφορά την κατηγορία: Οικονομία / Ενέργεια.
Ελληνική_Λύση,Ιδιωτικοποίηση ΔΕΗ (Πώληση 49% ΔΕΔΔΗΕ) (2021),Οικονομία / Ενέργεια,ΚΑΤΑ,Το κόμμα Ελληνική_Λύση ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Ιδιωτικοποίηση ΔΕΗ (Πώληση 49% ΔΕΔΔΗΕ) (2021)' που αφορά την κατηγορία: Οικονομία / Ενέργεια.
Πλεύση_Ελευθερίας,Ιδιωτικοποίηση ΔΕΗ (Πώληση 49% ΔΕΔΔΗΕ) (2021),Οικονομία / Ενέργεια,ΚΑΤΑ,Το κόμμα Πλεύση_Ελευθερίας ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Ιδιωτικοποίηση ΔΕΗ (Πώληση 49% ΔΕΔΔΗΕ) (2021)' που αφορά την κατηγορία: Οικονομία / Ενέργεια.
ΜέΡΑ25,Ιδιωτικοποίηση ΔΕΗ (Πώληση 49% ΔΕΔΔΗΕ) (2021),Οικονομία / Ενέργεια,ΚΑΤΑ,Το κόμμα ΜέΡΑ25 ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Ιδιωτικοποίηση ΔΕΗ (Πώληση 49% ΔΕΔΔΗΕ) (2021)' που αφορά την κατηγορία: Οικονομία / Ενέργεια.
Φωνή_Λογικής,Ιδιωτικοποίηση ΔΕΗ (Πώληση 49% ΔΕΔΔΗΕ) (2021),Οικονομία / Ενέργεια,ΥΠΕΡ,Το κόμμα Φωνή_Λογικής ψήφισε 'ΥΠΕΡ' στο νομοσχέδιο 'Ιδιωτικοποίηση ΔΕΗ (Πώληση 49% ΔΕΔΔΗΕ) (2021)' που αφορά την κατηγορία: Οικονομία / Ενέργεια.
Εθνικό_Κόμμα_Έλληνες,Ιδιωτικοποίηση ΔΕΗ (Πώληση 49% ΔΕΔΔΗΕ) (2021),Οικονομία / Ενέργεια,ΚΑΤΑ,Το κόμμα Εθνικό_Κόμμα_Έλληνες ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Ιδιωτικοποίηση ΔΕΗ (Πώληση 49% ΔΕΔΔΗΕ) (2021)' που αφορά την κατηγορία: Οικονομία / Ενέργεια.
ΝΔ,Πανεπιστημιακή Αστυνομία (ΟΠΠΙ) (2021),Παιδεία / Ασφάλεια,ΥΠΕΡ,Το κόμμα ΝΔ ψήφισε 'ΥΠΕΡ' στο νομοσχέδιο 'Πανεπιστημιακή Αστυνομία (ΟΠΠΙ) (2021)' που αφορά την κατηγορία: Παιδεία / Ασφάλεια.
ΕΛΑΣ,Πανεπιστημιακή Αστυνομία (ΟΠΠΙ) (2021),Παιδεία / Ασφάλεια,ΚΑΤΑ,Το κόμμα ΕΛΑΣ ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Πανεπιστημιακή Αστυνομία (ΟΠΠΙ) (2021)' που αφορά την κατηγορία: Παιδεία / Ασφάλεια.
ΠΑΣΟΚ,Πανεπιστημιακή Αστυνομία (ΟΠΠΙ) (2021),Παιδεία / Ασφάλεια,ΚΑΤΑ,Το κόμμα ΠΑΣΟΚ ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Πανεπιστημιακή Αστυνομία (ΟΠΠΙ) (2021)' που αφορά την κατηγορία: Παιδεία / Ασφάλεια.
ΚΚΕ,Πανεπιστημιακή Αστυνομία (ΟΠΠΙ) (2021),Παιδεία / Ασφάλεια,ΚΑΤΑ,Το κόμμα ΚΚΕ ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Πανεπιστημιακή Αστυνομία (ΟΠΠΙ) (2021)' που αφορά την κατηγορία: Παιδεία / Ασφάλεια.
Ελληνική_Λύση,Πανεπιστημιακή Αστυνομία (ΟΠΠΙ) (2021),Παιδεία / Ασφάλεια,ΠΑΡΩΝ,Το κόμμα Ελληνική_Λύση ψήφισε 'ΠΑΡΩΝ' στο νομοσχέδιο 'Πανεπιστημιακή Αστυνομία (ΟΠΠΙ) (2021)' που αφορά την κατηγορία: Παιδεία / Ασφάλεια.
Πλεύση_Ελευθερίας,Πανεπιστημιακή Αστυνομία (ΟΠΠΙ) (2021),Παιδεία / Ασφάλεια,ΚΑΤΑ,Το κόμμα Πλεύση_Ελευθερίας ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Πανεπιστημιακή Αστυνομία (ΟΠΠΙ) (2021)' που αφορά την κατηγορία: Παιδεία / Ασφάλεια.
ΜέΡΑ25,Πανεπιστημιακή Αστυνομία (ΟΠΠΙ) (2021),Παιδεία / Ασφάλεια,ΚΑΤΑ,Το κόμμα ΜέΡΑ25 ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Πανεπιστημιακή Αστυνομία (ΟΠΠΙ) (2021)' που αφορά την κατηγορία: Παιδεία / Ασφάλεια.
Φωνή_Λογικής,Πανεπιστημιακή Αστυνομία (ΟΠΠΙ) (2021),Παιδεία / Ασφάλεια,ΥΠΕΡ,Το κόμμα Φωνή_Λογικής ψήφισε 'ΥΠΕΡ' στο νομοσχέδιο 'Πανεπιστημιακή Αστυνομία (ΟΠΠΙ) (2021)' που αφορά την κατηγορία: Παιδεία / Ασφάλεια.
Εθνικό_Κόμμα_Έλληνες,Πανεπιστημιακή Αστυνομία (ΟΠΠΙ) (2021),Παιδεία / Ασφάλεια,ΥΠΕΡ,Το κόμμα Εθνικό_Κόμμα_Έλληνες ψήφισε 'ΥΠΕΡ' στο νομοσχέδιο 'Πανεπιστημιακή Αστυνομία (ΟΠΠΙ) (2021)' που αφορά την κατηγορία: Παιδεία / Ασφάλεια.
ΝΔ,Νέος Πτωχευτικός Κώδικας (Άρση προστασίας 1ης κατοικίας) (2020),Οικονομία,ΥΠΕΡ,Το κόμμα ΝΔ ψήφισε 'ΥΠΕΡ' στο νομοσχέδιο 'Νέος Πτωχευτικός Κώδικας (Άρση προστασίας 1ης κατοικίας) (2020)' που αφορά την κατηγορία: Οικονομία.
ΕΛΑΣ,Νέος Πτωχευτικός Κώδικας (Άρση προστασίας 1ης κατοικίας) (2020),Οικονομία,ΚΑΤΑ,Το κόμμα ΕΛΑΣ ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Νέος Πτωχευτικός Κώδικας (Άρση προστασίας 1ης κατοικίας) (2020)' που αφορά την κατηγορία: Οικονομία.
ΠΑΣΟΚ,Νέος Πτωχευτικός Κώδικας (Άρση προστασίας 1ης κατοικίας) (2020),Οικονομία,ΚΑΤΑ,Το κόμμα ΠΑΣΟΚ ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Νέος Πτωχευτικός Κώδικας (Άρση προστασίας 1ης κατοικίας) (2020)' που αφορά την κατηγορία: Οικονομία.
ΚΚΕ,Νέος Πτωχευτικός Κώδικας (Άρση προστασίας 1ης κατοικίας) (2020),Οικονομία,ΚΑΤΑ,Το κόμμα ΚΚΕ ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Νέος Πτωχευτικός Κώδικας (Άρση προστασίας 1ης κατοικίας) (2020)' που αφορά την κατηγορία: Οικονομία.
Ελληνική_Λύση,Νέος Πτωχευτικός Κώδικας (Άρση προστασίας 1ης κατοικίας) (2020),Οικονομία,ΚΑΤΑ,Το κόμμα Ελληνική_Λύση ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Νέος Πτωχευτικός Κώδικας (Άρση προστασίας 1ης κατοικίας) (2020)' που αφορά την κατηγορία: Οικονομία.
Πλεύση_Ελευθερίας,Νέος Πτωχευτικός Κώδικας (Άρση προστασίας 1ης κατοικίας) (2020),Οικονομία,ΚΑΤΑ,Το κόμμα Πλεύση_Ελευθερίας ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Νέος Πτωχευτικός Κώδικας (Άρση προστασίας 1ης κατοικίας) (2020)' που αφορά την κατηγορία: Οικονομία.
ΜέΡΑ25,Νέος Πτωχευτικός Κώδικας (Άρση προστασίας 1ης κατοικίας) (2020),Οικονομία,ΚΑΤΑ,Το κόμμα ΜέΡΑ25 ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Νέος Πτωχευτικός Κώδικας (Άρση προστασίας 1ης κατοικίας) (2020)' που αφορά την κατηγορία: Οικονομία.
Φωνή_Λογικής,Νέος Πτωχευτικός Κώδικας (Άρση προστασίας 1ης κατοικίας) (2020),Οικονομία,ΚΑΤΑ,Το κόμμα Φωνή_Λογικής ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Νέος Πτωχευτικός Κώδικας (Άρση προστασίας 1ης κατοικίας) (2020)' που αφορά την κατηγορία: Οικονομία.
Εθνικό_Κόμμα_Έλληνες,Νέος Πτωχευτικός Κώδικας (Άρση προστασίας 1ης κατοικίας) (2020),Οικονομία,ΚΑΤΑ,Το κόμμα Εθνικό_Κόμμα_Έλληνες ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Νέος Πτωχευτικός Κώδικας (Άρση προστασίας 1ης κατοικίας) (2020)' που αφορά την κατηγορία: Οικονομία.
ΝΔ,Ψήφος Αποδήμων (Άρση όλων των περιορισμών) (2023),Θεσμοί,ΥΠΕΡ,Το κόμμα ΝΔ ψήφισε 'ΥΠΕΡ' στο νομοσχέδιο 'Ψήφος Αποδήμων (Άρση όλων των περιορισμών) (2023)' που αφορά την κατηγορία: Θεσμοί.
ΕΛΑΣ,Ψήφος Αποδήμων (Άρση όλων των περιορισμών) (2023),Θεσμοί,ΚΑΤΑ,Το κόμμα ΕΛΑΣ ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Ψήφος Αποδήμων (Άρση όλων των περιορισμών) (2023)' που αφορά την κατηγορία: Θεσμοί.
ΠΑΣΟΚ,Ψήφος Αποδήμων (Άρση όλων των περιορισμών) (2023),Θεσμοί,ΥΠΕΡ,Το κόμμα ΠΑΣΟΚ ψήφισε 'ΥΠΕΡ' στο νομοσχέδιο 'Ψήφος Αποδήμων (Άρση όλων των περιορισμών) (2023)' που αφορά την κατηγορία: Θεσμοί.
ΚΚΕ,Ψήφος Αποδήμων (Άρση όλων των περιορισμών) (2023),Θεσμοί,ΚΑΤΑ,Το κόμμα ΚΚΕ ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Ψήφος Αποδήμων (Άρση όλων των περιορισμών) (2023)' που αφορά την κατηγορία: Θεσμοί.
Ελληνική_Λύση,Ψήφος Αποδήμων (Άρση όλων των περιορισμών) (2023),Θεσμοί,ΥΠΕΡ,Το κόμμα Ελληνική_Λύση ψήφισε 'ΥΠΕΡ' στο νομοσχέδιο 'Ψήφος Αποδήμων (Άρση όλων των περιορισμών) (2023)' που αφορά την κατηγορία: Θεσμοί.
Πλεύση_Ελευθερίας,Ψήφος Αποδήμων (Άρση όλων των περιορισμών) (2023),Θεσμοί,ΥΠΕΡ,Το κόμμα Πλεύση_Ελευθερίας ψήφισε 'ΥΠΕΡ' στο νομοσχέδιο 'Ψήφος Αποδήμων (Άρση όλων των περιορισμών) (2023)' που αφορά την κατηγορία: Θεσμοί.
ΜέΡΑ25,Ψήφος Αποδήμων (Άρση όλων των περιορισμών) (2023),Θεσμοί,ΚΑΤΑ,Το κόμμα ΜέΡΑ25 ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Ψήφος Αποδήμων (Άρση όλων των περιορισμών) (2023)' που αφορά την κατηγορία: Θεσμοί.
Φωνή_Λογικής,Ψήφος Αποδήμων (Άρση όλων των περιορισμών) (2023),Θεσμοί,ΥΠΕΡ,Το κόμμα Φωνή_Λογικής ψήφισε 'ΥΠΕΡ' στο νομοσχέδιο 'Ψήφος Αποδήμων (Άρση όλων των περιορισμών) (2023)' που αφορά την κατηγορία: Θεσμοί.
Εθνικό_Κόμμα_Έλληνες,Ψήφος Αποδήμων (Άρση όλων των περιορισμών) (2023),Θεσμοί,ΥΠΕΡ,Το κόμμα Εθνικό_Κόμμα_Έλληνες ψήφισε 'ΥΠΕΡ' στο νομοσχέδιο 'Ψήφος Αποδήμων (Άρση όλων των περιορισμών) (2023)' που αφορά την κατηγορία: Θεσμοί.
ΝΔ,Νομοσχέδιο για τον περιορισμό πορειών και διαδηλώσεων (2020),Δικαιώματα,ΥΠΕΡ,Το κόμμα ΝΔ ψήφισε 'ΥΠΕΡ' στο νομοσχέδιο 'Νομοσχέδιο για τον περιορισμό πορειών και διαδηλώσεων (2020)' που αφορά την κατηγορία: Δικαιώματα.
ΕΛΑΣ,Νομοσχέδιο για τον περιορισμό πορειών και διαδηλώσεων (2020),Δικαιώματα,ΚΑΤΑ,Το κόμμα ΕΛΑΣ ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Νομοσχέδιο για τον περιορισμό πορειών και διαδηλώσεων (2020)' που αφορά την κατηγορία: Δικαιώματα.
ΠΑΣΟΚ,Νομοσχέδιο για τον περιορισμό πορειών και διαδηλώσεων (2020),Δικαιώματα,ΥΠΕΡ,Το κόμμα ΠΑΣΟΚ ψήφισε 'ΥΠΕΡ' στο νομοσχέδιο 'Νομοσχέδιο για τον περιορισμό πορειών και διαδηλώσεων (2020)' που αφορά την κατηγορία: Δικαιώματα.
ΚΚΕ,Νομοσχέδιο για τον περιορισμό πορειών και διαδηλώσεων (2020),Δικαιώματα,ΚΑΤΑ,Το κόμμα ΚΚΕ ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Νομοσχέδιο για τον περιορισμό πορειών και διαδηλώσεων (2020)' που αφορά την κατηγορία: Δικαιώματα.
Ελληνική_Λύση,Νομοσχέδιο για τον περιορισμό πορειών και διαδηλώσεων (2020),Δικαιώματα,ΥΠΕΡ,Το κόμμα Ελληνική_Λύση ψήφισε 'ΥΠΕΡ' στο νομοσχέδιο 'Νομοσχέδιο για τον περιορισμό πορειών και διαδηλώσεων (2020)' που αφορά την κατηγορία: Δικαιώματα.
Πλεύση_Ελευθερίας,Νομοσχέδιο για τον περιορισμό πορειών και διαδηλώσεων (2020),Δικαιώματα,ΚΑΤΑ,Το κόμμα Πλεύση_Ελευθερίας ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Νομοσχέδιο για τον περιορισμό πορειών και διαδηλώσεων (2020)' που αφορά την κατηγορία: Δικαιώματα.
ΜέΡΑ25,Νομοσχέδιο για τον περιορισμό πορειών και διαδηλώσεων (2020),Δικαιώματα,ΚΑΤΑ,Το κόμμα ΜέΡΑ25 ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Νομοσχέδιο για τον περιορισμό πορειών και διαδηλώσεων (2020)' που αφορά την κατηγορία: Δικαιώματα.
Φωνή_Λογικής,Νομοσχέδιο για τον περιορισμό πορειών και διαδηλώσεων (2020),Δικαιώματα,ΥΠΕΡ,Το κόμμα Φωνή_Λογικής ψήφισε 'ΥΠΕΡ' στο νομοσχέδιο 'Νομοσχέδιο για τον περιορισμό πορειών και διαδηλώσεων (2020)' που αφορά την κατηγορία: Δικαιώματα.
Εθνικό_Κόμμα_Έλληνες,Νομοσχέδιο για τον περιορισμό πορειών και διαδηλώσεων (2020),Δικαιώματα,ΥΠΕΡ,Το κόμμα Εθνικό_Κόμμα_Έλληνες ψήφισε 'ΥΠΕΡ' στο νομοσχέδιο 'Νομοσχέδιο για τον περιορισμό πορειών και διαδηλώσεων (2020)' που αφορά την κατηγορία: Δικαιώματα.
ΝΔ,Αναμόρφωση ΕΣΥ (Δυνατότητα ιδιωτικού έργου ιατρών) (2022),Υγεία,ΥΠΕΡ,Το κόμμα ΝΔ ψήφισε 'ΥΠΕΡ' στο νομοσχέδιο 'Αναμόρφωση ΕΣΥ (Δυνατότητα ιδιωτικού έργου ιατρών) (2022)' που αφορά την κατηγορία: Υγεία.
ΕΛΑΣ,Αναμόρφωση ΕΣΥ (Δυνατότητα ιδιωτικού έργου ιατρών) (2022),Υγεία,ΚΑΤΑ,Το κόμμα ΕΛΑΣ ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Αναμόρφωση ΕΣΥ (Δυνατότητα ιδιωτικού έργου ιατρών) (2022)' που αφορά την κατηγορία: Υγεία.
ΠΑΣΟΚ,Αναμόρφωση ΕΣΥ (Δυνατότητα ιδιωτικού έργου ιατρών) (2022),Υγεία,ΚΑΤΑ,Το κόμμα ΠΑΣΟΚ ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Αναμόρφωση ΕΣΥ (Δυνατότητα ιδιωτικού έργου ιατρών) (2022)' που αφορά την κατηγορία: Υγεία.
ΚΚΕ,Αναμόρφωση ΕΣΥ (Δυνατότητα ιδιωτικού έργου ιατρών) (2022),Υγεία,ΚΑΤΑ,Το κόμμα ΚΚΕ ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Αναμόρφωση ΕΣΥ (Δυνατότητα ιδιωτικού έργου ιατρών) (2022)' που αφορά την κατηγορία: Υγεία.
Ελληνική_Λύση,Αναμόρφωση ΕΣΥ (Δυνατότητα ιδιωτικού έργου ιατρών) (2022),Υγεία,ΚΑΤΑ,Το κόμμα Ελληνική_Λύση ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Αναμόρφωση ΕΣΥ (Δυνατότητα ιδιωτικού έργου ιατρών) (2022)' που αφορά την κατηγορία: Υγεία.
Πλεύση_Ελευθερίας,Αναμόρφωση ΕΣΥ (Δυνατότητα ιδιωτικού έργου ιατρών) (2022),Υγεία,ΚΑΤΑ,Το κόμμα Πλεύση_Ελευθερίας ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Αναμόρφωση ΕΣΥ (Δυνατότητα ιδιωτικού έργου ιατρών) (2022)' που αφορά την κατηγορία: Υγεία.
ΜέΡΑ25,Αναμόρφωση ΕΣΥ (Δυνατότητα ιδιωτικού έργου ιατρών) (2022),Υγεία,ΚΑΤΑ,Το κόμμα ΜέΡΑ25 ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Αναμόρφωση ΕΣΥ (Δυνατότητα ιδιωτικού έργου ιατρών) (2022)' που αφορά την κατηγορία: Υγεία.
Φωνή_Λογικής,Αναμόρφωση ΕΣΥ (Δυνατότητα ιδιωτικού έργου ιατρών) (2022),Υγεία,ΥΠΕΡ,Το κόμμα Φωνή_Λογικής ψήφισε 'ΥΠΕΡ' στο νομοσχέδιο 'Αναμόρφωση ΕΣΥ (Δυνατότητα ιδιωτικού έργου ιατρών) (2022)' που αφορά την κατηγορία: Υγεία.
Εθνικό_Κόμμα_Έλληνες,Αναμόρφωση ΕΣΥ (Δυνατότητα ιδιωτικού έργου ιατρών) (2022),Υγεία,ΚΑΤΑ,Το κόμμα Εθνικό_Κόμμα_Έλληνες ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Αναμόρφωση ΕΣΥ (Δυνατότητα ιδιωτικού έργου ιατρών) (2022)' που αφορά την κατηγορία: Υγεία.
ΝΔ,Νομοσχέδιο για την ΕΥΠ (Μετά την υπόθεση των υποκλοπών) (2022),Θεσμοί / Διαφάνεια,ΥΠΕΡ,Το κόμμα ΝΔ ψήφισε 'ΥΠΕΡ' στο νομοσχέδιο 'Νομοσχέδιο για την ΕΥΠ (Μετά την υπόθεση των υποκλοπών) (2022)' που αφορά την κατηγορία: Θεσμοί / Διαφάνεια.
ΕΛΑΣ,Νομοσχέδιο για την ΕΥΠ (Μετά την υπόθεση των υποκλοπών) (2022),Θεσμοί / Διαφάνεια,ΚΑΤΑ,Το κόμμα ΕΛΑΣ ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Νομοσχέδιο για την ΕΥΠ (Μετά την υπόθεση των υποκλοπών) (2022)' που αφορά την κατηγορία: Θεσμοί / Διαφάνεια.
ΠΑΣΟΚ,Νομοσχέδιο για την ΕΥΠ (Μετά την υπόθεση των υποκλοπών) (2022),Θεσμοί / Διαφάνεια,ΚΑΤΑ,Το κόμμα ΠΑΣΟΚ ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Νομοσχέδιο για την ΕΥΠ (Μετά την υπόθεση των υποκλοπών) (2022)' που αφορά την κατηγορία: Θεσμοί / Διαφάνεια.
ΚΚΕ,Νομοσχέδιο για την ΕΥΠ (Μετά την υπόθεση των υποκλοπών) (2022),Θεσμοί / Διαφάνεια,ΚΑΤΑ,Το κόμμα ΚΚΕ ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Νομοσχέδιο για την ΕΥΠ (Μετά την υπόθεση των υποκλοπών) (2022)' που αφορά την κατηγορία: Θεσμοί / Διαφάνεια.
Ελληνική_Λύση,Νομοσχέδιο για την ΕΥΠ (Μετά την υπόθεση των υποκλοπών) (2022),Θεσμοί / Διαφάνεια,ΚΑΤΑ,Το κόμμα Ελληνική_Λύση ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Νομοσχέδιο για την ΕΥΠ (Μετά την υπόθεση των υποκλοπών) (2022)' που αφορά την κατηγορία: Θεσμοί / Διαφάνεια.
